Component,21.02.4-ARM,21.02.4-MIPS,21.02.4-x86,23.05.2-ARM,23.05.2-MIPS,23.05.2-x86,24.10.0-ARM,24.10.0-MIPS,24.10.0-x86
busybox,yes,yes,yes,yes,yes,yes,yes,yes,yes
dnsmasq,yes,yes,yes,yes,yes,yes,yes,yes,yes
dropbear,yes,yes,yes,yes,yes,yes,yes,yes,yes
fwtool,yes,yes,yes,yes,yes,yes,yes,yes,yes
getrandom,yes,yes,yes,yes,yes,yes,yes,yes,yes
jshn,yes,yes,yes,yes,yes,yes,yes,yes,yes
jsonfilter,yes,yes,yes,yes,yes,yes,yes,yes,yes
luci-mod-status,yes,yes,yes,yes,yes,yes,yes,yes,yes
mkf2fs,yes,yes,yes,yes,yes,yes,yes,yes,yes
mtd,yes,yes,yes,yes,yes,yes,yes,yes,yes
netifd,yes,yes,yes,yes,yes,yes,yes,yes,yes
odhcp6c,yes,yes,yes,yes,yes,yes,yes,yes,yes
odhcpd-ipv6only,yes,yes,yes,yes,yes,yes,yes,yes,yes
opkg,yes,yes,yes,yes,yes,yes,yes,yes,yes
ppp,yes,yes,yes,yes,yes,yes,yes,yes,yes
procd-ujail,no,no,no,yes,yes,yes,yes,yes,yes
px5g-mbedtls,no,no,no,yes,yes,yes,yes,yes,yes
rpcd,yes,yes,yes,yes,yes,yes,yes,yes,yes
ubus,yes,yes,yes,yes,yes,yes,yes,yes,yes
ubusd,yes,yes,yes,yes,yes,yes,yes,yes,yes
uci,yes,yes,yes,yes,yes,yes,yes,yes,yes
uclient-fetch,yes,yes,yes,yes,yes,yes,yes,yes,yes
ucode,no,no,no,yes,yes,yes,yes,yes,yes
uhttpd,yes,yes,yes,yes,yes,yes,yes,yes,yes
urngd,yes,yes,yes,yes,yes,yes,yes,yes,yes
usign,yes,yes,yes,yes,yes,yes,yes,yes,yes
